Semestre,Matière
Semestre 1,Algorithmique et Structures de Données 1
Semestre 1,Systèmes d’Exploitation Systèmes Logiques et Architectures des Ordinateurs
Semestre 1,Analyse
Semestre 1,Statistiques et Probabilités
Semestre 1,Principes de Gestion
Semestre 1,Comptabilité générale
Semestre 1,Compétences Numériques : Excel avancé
Semestre 1,Business Communication 1
Semestre 1,Principes de l’économie
Semestre 1,Travail Collaboratif
Semestre 1,Interface Homme Machine
Semestre 1,Séminaire
Semestre 2,Algorithmique et Structures de Données 2
Semestre 2,Fondements des réseaux
Semestre 2,Introduction aux Systèmes d’Information
Semestre 2,Logique Mathématique
Semestre 2,Algèbre
Semestre 2,Systèmes d’Information Comptable
Semestre 2,Gestion Financière
Semestre 2,Business Communication 2
Semestre 2,Développement durable
Semestre 2,Projet Tuteuré
Semestre 2,Introduction à l’informatique décisionnelle
Semestre 2,Marketing Stratégique
Semestre 3,Programmation OO
Semestre 3,Programmation Web 1
Semestre 3,Conception OO des Systèmes d’Information
Semestre 3,Bases de Données
Semestre 3,Statistiques Inférentielles
Semestre 3,Fondements de l’IA
Semestre 3,Marketing Digital
Semestre 3,Economie Numérique
Semestre 3,Ethique et Lois des IT
Semestre 3,Projet Professionnel Personnel (PPP)
Semestre 3,Social Media
Semestre 3,Management des Projets
Semestre 3,Séminaire
Semestre 4,Gestion des Opérations et de la logistique
Semestre 4,Business Process Management
Semestre 4,Framework .Net
Semestre 4,Programmation Web2
Semestre 4,SGBD & Administration des BDs
Semestre 4,Gouvernance des SI
Semestre 4,Sécurité des SI
Semestre 4,Problem Solving
Semestre 4,Anglais
Semestre 4,Projet Tuteuré métier
Semestre 4,Entrepreneuriat & Innovation
Semestre 4,Big Data
Semestre 5,Intégration des SI
Semestre 5,ERP
Semestre 5,Génie Logiciel
Semestre 5,Gestion des Projets SI
Semestre 5,Développement Mobile 
Semestre 5,Développement JEE
Semestre 5,Business Intelligence  
Semestre 5,Stratégies d’Affaires électroniques 
Semestre 5,Professional Network Service – gestion de carrière
Semestre 5,Anglais d’Affaires
Semestre 5,E-Business
Semestre 5,E-CRM
Semestre 5,Séminaire métier
